topic_id,topic_name,paper_count,query_time
13396,Agriculture and Rural Development Research,303045,2025-08-23T03:16:52.640302
10017,Geology and Paleoclimatology Research,282094,2025-08-23T03:16:49.791659
13085,"Education, Psychology, and Social Research",253198,2025-08-23T03:16:51.774713
12618,Botany and Plant Ecology Studies,241840,2025-08-23T03:16:51.773720
11405,Geophysics and Gravity Measurements,228977,2025-08-23T03:16:50.662845
10487,Plant and animal studies,221982,2025-08-23T03:16:49.792655
11546,Plant Physiology and Cultivation Studies,191052,2025-08-23T03:16:50.662845
10302,Fish Ecology and Management Studies,165985,2025-08-23T03:16:49.791659
10406,Planetary Science and Exploration,152280,2025-08-23T03:16:49.791659
11796,Horticultural and Viticultural Research,147659,2025-08-23T03:16:50.662845
13939,Archaeology and Natural History,146372,2025-08-23T03:16:52.641298
13760,"Finance, Taxation, and Governance",144883,2025-08-23T03:16:52.641298
10809,Occupational Health and Safety Research,138064,2025-08-23T03:16:49.792655
10330,Hydrology and Watershed Management Studies,134907,2025-08-23T03:16:49.791659
11537,Ethics in medical practice,132875,2025-08-23T03:16:50.662845
12641,Historical and socio-economic studies of Spain and related regions,130804,2025-08-23T03:16:51.773720
10230,Marine and fisheries research,130373,2025-08-23T03:16:49.791659
10121,Building Energy and Comfort Optimization,119195,2025-08-23T03:16:49.791659
10029,Climate variability and models,115777,2025-08-23T03:16:49.791659
10075,Atmospheric chemistry and aerosols,115546,2025-08-23T03:16:49.791659
10644,Cryospheric studies and observations,113711,2025-08-23T03:16:49.792655
10089,Avian ecology and behavior,112108,2025-08-23T03:16:49.791659
10004,Soil Carbon and Nitrogen Dynamics,104598,2025-08-23T03:16:49.791659
11880,Forest ecology and management,100975,2025-08-23T03:16:50.662845
13743,Italian Literature and Culture,100971,2025-08-23T03:16:52.641298
10471,Climate Change Policy and Economics,100655,2025-08-23T03:16:49.792655
10969,Water resources management and optimization,99147,2025-08-23T03:16:50.662845
12639,Global Energy and Sustainability Research,98300,2025-08-23T03:16:51.773720
10895,Species Distribution and Climate Change,96759,2025-08-23T03:16:49.792655
13508,Agricultural Economics and Practices,94623,2025-08-23T03:16:52.640302
11320,Atmospheric Ozone and Climate,92696,2025-08-23T03:16:50.662845
10032,Marine and coastal ecosystems,92030,2025-08-23T03:16:49.791659
10255,Oceanographic and Atmospheric Processes,88678,2025-08-23T03:16:49.791659
14010,Food Industry and Aquatic Biology,87350,2025-08-23T03:16:52.642293
10747,Disaster Management and Resilience,83652,2025-08-23T03:16:49.792655
12667,Economic and Technological Developments in Russia,83174,2025-08-23T03:16:51.773720
13186,Russia and Soviet political economy,82038,2025-08-23T03:16:51.774713
10555,Fire effects on ecosystems,81807,2025-08-23T03:16:49.792655
10109,Paleontology and Stratigraphy of Fossils,81801,2025-08-23T03:16:49.791659
12467,Rangeland Management and Livestock Ecology,81011,2025-08-23T03:16:51.773720
14009,Ecology and Conservation Studies,80396,2025-08-23T03:16:52.641298
14018,Agriculture and Biological Studies,79795,2025-08-23T03:16:52.642293
11913,Animal Ecology and Behavior Studies,78587,2025-08-23T03:16:50.662845
12432,Arctic and Russian Policy Studies,78468,2025-08-23T03:16:51.773720
13838,Plant and soil sciences,78268,2025-08-23T03:16:52.641298
10659,Marine animal studies overview,77364,2025-08-23T03:16:49.792655
10236,Aquatic Ecosystems and Phytoplankton Dynamics,77362,2025-08-23T03:16:49.791659
12614,Indigenous Studies and Ecology,77063,2025-08-23T03:16:51.773720
10647,Coastal and Marine Dynamics,76978,2025-08-23T03:16:49.792655
10930,Flood Risk Assessment and Management,76302,2025-08-23T03:16:50.662845
11753,Forest Management and Policy,76256,2025-08-23T03:16:50.662845
10877,Allergic Rhinitis and Sensitization,75851,2025-08-23T03:16:49.792655
12129,Global Energy Security and Policy,75733,2025-08-23T03:16:50.662845
10266,Plant Water Relations and Carbon Dynamics,74701,2025-08-23T03:16:49.791659
13870,Environmental and Ecological Studies,73802,2025-08-23T03:16:52.641298
10332,Amphibian and Reptile Biology,73535,2025-08-23T03:16:49.791659
14157,Environmental and Agricultural Sciences,72191,2025-08-23T03:16:53.532310
11691,Forest Insect Ecology and Management,72030,2025-08-23T03:16:50.662845
10643,Marine and coastal plant biology,71309,2025-08-23T03:16:49.792655
10347,Atmospheric aerosols and clouds,70868,2025-08-23T03:16:49.791659
10520,Mycotoxins in Agriculture and Food,69096,2025-08-23T03:16:49.792655
11244,Climate Change and Health Impacts,63614,2025-08-23T03:16:50.662845
12028,Knowledge Management and Sharing,63144,2025-08-23T03:16:50.662845
10341,Coral and Marine Ecosystems Studies,62954,2025-08-23T03:16:49.791659
11371,Wind and Air Flow Studies,62159,2025-08-23T03:16:50.662845
11459,Arctic and Antarctic ice dynamics,60269,2025-08-23T03:16:50.662845
12630,African Botany and Ecology Studies,60244,2025-08-23T03:16:51.773720
12271,Renewable energy and sustainable power systems,59852,2025-08-23T03:16:51.773720
13388,Rangeland and Wildlife Management,59112,2025-08-23T03:16:52.640302
10319,"Conservation, Biodiversity, and Resource Management",58975,2025-08-23T03:16:49.791659
10111,Remote Sensing in Agriculture,58055,2025-08-23T03:16:49.791659
11056,Physiological and biochemical adaptations,57346,2025-08-23T03:16:50.662845
11333,Climate change and permafrost,56215,2025-08-23T03:16:50.662845
12019,Calibration and Measurement Techniques,54602,2025-08-23T03:16:50.662845
11684,Vibrio bacteria research studies,53370,2025-08-23T03:16:50.662845
11483,Tropical and Extratropical Cyclones Research,52479,2025-08-23T03:16:50.662845
13120,Nuclear Issues and Defense,51541,2025-08-23T03:16:51.774713
13125,Agricultural pest management studies,51436,2025-08-23T03:16:51.774713
11228,Bat Biology and Ecology Studies,50484,2025-08-23T03:16:50.662845
11994,Human Resource Development and Performance Evaluation,49947,2025-08-23T03:16:50.662845
14378,Entomological Studies and Ecology,49410,2025-08-23T03:16:53.532310
10398,Groundwater and Isotope Geochemistry,48264,2025-08-23T03:16:49.791659
12091,Peatlands and Wetlands Ecology,48066,2025-08-23T03:16:50.662845
11259,Agriculture Sustainability and Environmental Impact,47077,2025-08-23T03:16:50.662845
11400,Motivation and Self-Concept in Sports,46592,2025-08-23T03:16:50.662845
10485,"Bullying, Victimization, and Aggression",46284,2025-08-23T03:16:49.792655
13318,Diverse Scientific Research in Ukraine,45937,2025-08-23T03:16:52.640302
12431,Sugarcane Cultivation and Processing,45044,2025-08-23T03:16:51.773720
12383,Aeolian processes and effects,44678,2025-08-23T03:16:51.773720
10787,Lightning and Electromagnetic Phenomena,44510,2025-08-23T03:16:49.792655
11488,Climate Change Communication and Perception,44305,2025-08-23T03:16:50.662845
13126,Scientific Research and Discoveries,44188,2025-08-23T03:16:51.774713
14178,Environmental Science and Water Management,43728,2025-08-23T03:16:53.532310
12365,Effects of Environmental Stressors on Livestock,43527,2025-08-23T03:16:51.773720
10779,Coastal wetland ecosystem dynamics,43264,2025-08-23T03:16:49.792655
11061,Ocean Waves and Remote Sensing,43223,2025-08-23T03:16:50.662845
10766,Urban Heat Island Mitigation,42292,2025-08-23T03:16:49.792655
12093,Greenhouse Technology and Climate Control,42049,2025-08-23T03:16:50.662845
14468,Plant Ecology and Soil Science,41985,2025-08-23T03:16:53.532310
14472,Environmental and Cultural Studies in Latin America and Beyond,41691,2025-08-23T03:16:53.532310
14391,"Forest, Soil, and Plant Ecology in China",41502,2025-08-23T03:16:53.532310
12724,Water-Energy-Food Nexus Studies,41337,2025-08-23T03:16:51.773720
12180,Polar Research and Ecology,40943,2025-08-23T03:16:51.772714
14509,demographic modeling and climate adaptation,40938,2025-08-23T03:16:53.533309
12126,Maritime Transport Emissions and Efficiency,40521,2025-08-23T03:16:50.662845
11755,Transboundary Water Resource Management,39028,2025-08-23T03:16:50.662845
11836,Bryophyte Studies and Records,37921,2025-08-23T03:16:50.662845
13856,Advanced Power Generation Technologies,37581,2025-08-23T03:16:52.641298
10508,Patient Safety and Medication Errors,37516,2025-08-23T03:16:49.792655
12329,Hemiptera Insect Studies,36508,2025-08-23T03:16:51.773720
11760,Plant responses to elevated CO2,36103,2025-08-23T03:16:50.662845
11119,Urban Stormwater Management Solutions,35697,2025-08-23T03:16:50.662845
11186,Hydrology and Drought Analysis,35695,2025-08-23T03:16:50.662845
11862,"Agriculture, Land Use, Rural Development",35671,2025-08-23T03:16:50.662845
12733,Vector-Borne Animal Diseases,34944,2025-08-23T03:16:51.774713
14452,Mexican Socioeconomic and Environmental Dynamics,34645,2025-08-23T03:16:53.532310
13628,Agricultural Productivity and Crop Improvement,33262,2025-08-23T03:16:52.641298
14169,Public Health and Environmental Issues,33063,2025-08-23T03:16:53.532310
12656,"Climate Change, Adaptation, Migration",32757,2025-08-23T03:16:51.773720
13059,"Religion, Ecology, and Ethics",31950,2025-08-23T03:16:51.774713
12895,Environmental law and policy,30124,2025-08-23T03:16:51.774713
11656,Turtle Biology and Conservation,29965,2025-08-23T03:16:50.662845
13591,Pasture and Agricultural Systems,29390,2025-08-23T03:16:52.641298
13478,Agricultural Development and Management,29376,2025-08-23T03:16:52.640302
11594,Tree-ring climate responses,28566,2025-08-23T03:16:50.662845
11524,Advanced Aircraft Design and Technologies,28435,2025-08-23T03:16:50.662845
10439,Climate change impacts on agriculture,28373,2025-08-23T03:16:49.792655
12981,Conservation Techniques and Studies,28268,2025-08-23T03:16:51.774713
13102,Soil and Environmental Studies,26423,2025-08-23T03:16:51.774713
13756,International Environmental Law and Policies,26336,2025-08-23T03:16:52.641298
13203,Environmental Changes in China,26208,2025-08-23T03:16:52.640302
12213,Marine Ecology and Invasive Species,25894,2025-08-23T03:16:51.773720
13668,Agricultural and Rural Development Research,25686,2025-08-23T03:16:52.641298
13485,Marine and Coastal Ecosystems,25164,2025-08-23T03:16:52.640302
12870,Seedling growth and survival studies,23648,2025-08-23T03:16:51.774713
14053,Dengue and Mosquito Control Research,22992,2025-08-23T03:16:53.532310
13357,Property Rights and Legal Doctrine,21247,2025-08-23T03:16:52.640302
14372,Environmental and Biological Research in Conflict Zones,21094,2025-08-23T03:16:53.532310
12178,Bird parasitology and diseases,19853,2025-08-23T03:16:50.662845
13548,Environmental and biological studies,18596,2025-08-23T03:16:52.641298
13490,Aquatic Ecosystems and Biodiversity,17821,2025-08-23T03:16:52.640302
13069,Cocoa and Sweet Potato Agronomy,17709,2025-08-23T03:16:51.774713
10119,Sustainability and Climate Change Governance,17366,2025-08-23T03:16:49.791659
12531,Values and Moral Education,17220,2025-08-23T03:16:51.773720
13378,Agricultural Development and Policies,17077,2025-08-23T03:16:52.640302
12883,Sustainable Development and Environmental Management,16697,2025-08-23T03:16:51.774713
13825,Economic Policies and Impacts,16691,2025-08-23T03:16:52.641298
12457,Ecocriticism and Environmental Literature,15931,2025-08-23T03:16:51.773720
13811,Earth Systems and Cosmic Evolution,15810,2025-08-23T03:16:52.641298
12615,Climate Change and Geoengineering,15531,2025-08-23T03:16:51.773720
14481,Renewable Energy and Sustainability,14572,2025-08-23T03:16:53.533309
14329,Science and Climate Studies,14094,2025-08-23T03:16:53.532310
14187,Varied Academic Research Topics,13385,2025-08-23T03:16:53.532310
14177,Water Resources and Management,12687,2025-08-23T03:16:53.532310
14050,Forest Ecology and Conservation,12176,2025-08-23T03:16:53.532310
13377,Ecosystem dynamics and resilience,12139,2025-08-23T03:16:52.640302
13557,Environmental and sustainability education,11596,2025-08-23T03:16:52.641298
13603,Corporate Social Responsibility and Sustainability,10629,2025-08-23T03:16:52.641298
13678,Agricultural Research and Practices,10271,2025-08-23T03:16:52.641298
12710,Engineering and Agricultural Innovations,10193,2025-08-23T03:16:51.773720
14231,New Zealand Economic and Social Studies,10145,2025-08-23T03:16:53.532310
12916,COVID-19 impact on air quality,10120,2025-08-23T03:16:51.774713
13146,Sustainable Finance and Green Bonds,9191,2025-08-23T03:16:51.774713
13011,Latin American rural development,8597,2025-08-23T03:16:51.774713
13477,Sustainable Design and Development,7450,2025-08-23T03:16:52.640302
13082,Water and Land Management,7329,2025-08-23T03:16:51.774713
14350,"Innovation, Sustainability, Human-Machine Systems",7115,2025-08-23T03:16:53.532310
13040,"Gender, Education, and Development Issues",6300,2025-08-23T03:16:51.774713
13469,"Environmental, Ecological, and Cultural Studies",6154,2025-08-23T03:16:52.640302
14359,Wetland Management and Conservation,5382,2025-08-23T03:16:53.532310
13530,Climate Change and Environmental Impact,5229,2025-08-23T03:16:52.641298
14323,"Agriculture, Water, and Health",4035,2025-08-23T03:16:53.532310
14296,Climate Change and Sustainable Development,3967,2025-08-23T03:16:53.532310
14440,Quality of Life Measurement,3775,2025-08-23T03:16:53.532310
13956,Sociopolitical Dynamics in Nepal,3591,2025-08-23T03:16:52.641298
13997,Scientific Research and Studies,3355,2025-08-23T03:16:52.641298
14398,Agriculture and Social Issues,2847,2025-08-23T03:16:53.532310
14116,Aviation History and Innovations,2726,2025-08-23T03:16:53.532310
14152,Healthcare Facilities Design and Sustainability,2712,2025-08-23T03:16:53.532310
13933,Whitehead's Philosophy and Applications,2576,2025-08-23T03:16:52.641298
14252,Water and Wastewater Treatment,1966,2025-08-23T03:16:53.532310
13507,"Literature, Politics, and Exile Studies",1493,2025-08-23T03:16:52.640302
13663,"Sustainability, Environment, and Optimization Algorithms",1383,2025-08-23T03:16:52.641298
14069,Scientific Research Methodologies and Applications,1263,2025-08-23T03:16:53.532310
13148,Environmental and Air Quality Management,1252,2025-08-23T03:16:51.774713
14361,Corporate Social Responsibility Disclosure,1247,2025-08-23T03:16:53.532310
14279,Academic Research and Education Studies,1235,2025-08-23T03:16:53.532310
13424,"Ukraine: War, Education, Health",1007,2025-08-23T03:16:52.640302
13893,Sustainable Development and Policies,958,2025-08-23T03:16:52.641298
14073,Diverse Global Research Studies,905,2025-08-23T03:16:53.532310
14027,21st Century Education and Governance,486,2025-08-23T03:16:53.532310
14341,"Education, Technology, and Ethics",421,2025-08-23T03:16:53.532310
14218,Engineering Education and Global Impact,331,2025-08-23T03:16:53.532310
14087,"Economic, Educational, Environmental and Organizational Development",69,2025-08-23T03:16:53.532310
